Ticker,Preço,Market Cap,FCO,Adjusted FCO,Capex,Capex (Raw),Depreciação,Ajuste Expansão,Juros,Impostos,Arrendamentos,FCF,FCF Yield,Rev Growth 5Y,Setor,Status
MGLU3.SA,9.35,7245131264,15719373000.0,15719373000.0,-891615000.0,-891615000.0,1284787000.0,False,1176904000.0,330099000.0,3583872000.0,9736883000.0,1.3439208545994399,0.012396387850930779,Consumer Cyclical,🟢 Barato
SAPR11.SA,42.15,12739462144,7060384000.0,7060384000.0,-2615418000.0,-2615418000.0,626251000.0,False,598306000.0,223087000.0,562314000.0,3061259000.0,0.2402973505001374,0.08294191723898847,Utilities,🟢 Barato
JHSF3.SA,14.1,9428841472,3653063000.0,3653063000.0,-896164000.0,-896164000.0,50998000.0,False,520559000.0,247737000.0,0.0,1988603000.0,0.2109063988301616,0.21577332275029826,Real Estate,🟢 Barato
INTB3.SA,14.7,4810002944,920024000.0,920024000.0,-100149000.0,-100149000.0,116625000.0,False,104835000.0,3544000.0,17302000.0,694194000.0,0.14432298858900658,0.0176241186768884,Technology,🟢 Barato
GRND3.SA,4.8,4330368000,557697000.0,557697000.0,-136367000.0,-136367000.0,100270000.0,False,15028000.0,32969000.0,1498000.0,371835000.0,0.08586683625964352,0.00827666308251862,Consumer Cyclical,🟡 Justo
PYPL,51.46,47377395712,6416000000.0,6416000000.0,-852000000.0,-852000000.0,963000000.0,False,441000000.0,1059000000.0,0.0,4064000000.0,0.08577930337717252,0.06426945232818149,Financial Services,🟡 Justo
CMCSA,29.73,108332982272,33643000000.0,33643000000.0,-14408000000.0,-14408000000.0,16210000000.0,False,4409000000.0,6106000000.0,0.0,8720000000.0,0.08049256853380092,0.006220134237919117,Communication Services,🟡 Justo
ADBE,248.63,101350768640,10031000000.0,10031000000.0,-179000000.0,-179000000.0,818000000.0,False,263000000.0,1604000000.0,438000000.0,7547000000.0,0.07446416145897322,0.10522339932516123,Technology,🟡 Justo
CI,279.92,74773864448,9601000000.0,9601000000.0,-1212000000.0,-1212000000.0,2775000000.0,False,1408000000.0,1493000000.0,0.0,5488000000.0,0.07339462846428808,0.151497968665933,Healthcare,🟡 Justo
MDIA3.SA,23.58,7908337152,1407929000.0,1407929000.0,-276172000.0,-276172000.0,412058000.0,False,183725000.0,48453000.0,322005000.0,577574000.0,0.07303355799062422,0.010045740902856481,Consumer Defensive,🟡 Justo
EZTC3.SA,16.18,4488148480,503786000.0,503786000.0,-21775000.0,-21775000.0,20890000.0,False,81730000.0,53991000.0,20740000.0,325550000.0,0.07253547904012302,0.10157628206317448,Real Estate,🟡 Justo
CXSE3.SA,19.03,57090002944,3840433000.0,3840433000.0,0.0,0.0,0.0,False,2127000.0,538229000.0,0.0,3300077000.0,0.0578048139748227,0.1335930117098778,Financial Services,🔴 Caro
BMY,59.13,120727814144,14156000000.0,14156000000.0,-1311000000.0,-1311000000.0,4011000000.0,False,1891000000.0,2272000000.0,2028000000.0,6654000000.0,0.05511571668201776,0.01449177656319045,Healthcare,🔴 Caro
CRM,186.27,171927207936,14996000000.0,14996000000.0,-594000000.0,-594000000.0,3631000000.0,False,276000000.0,2063000000.0,2737000000.0,9326000000.0,0.05424388677021736,0.09820006113830493,Technology,🔴 Caro
PSA,312.17,54799032320,3186449000.0,3186449000.0,-289378000.0,-289378000.0,1151840000.0,False,304495000.0,7228000.0,0.0,2585348000.0,0.04717871631204746,0.048750479098311095,Real Estate,🔴 Caro
BEEF3.SA,4.13,4078107136,4702753000.0,4702753000.0,-1139514000.0,-1139514000.0,974417000.0,False,3188062000.0,149999000.0,38745000.0,186433000.0,0.04571557190203254,0.20964024206255472,Consumer Defensive,🔴 Caro
ABEV3.SA,15.31,239092727808,24450400000.0,24450400000.0,-4590500000.0,-4590500000.0,6832100000.0,False,2720700000.0,3433300000.0,2975700000.0,10730200000.0,0.044878822113806546,0.03448415778904379,Consumer Defensive,🔴 Caro
GILD,135.87,168642347008,10019000000.0,10019000000.0,-563000000.0,-563000000.0,2760000000.0,False,1024000000.0,1286000000.0,0.0,7146000000.0,0.04237369869894547,0.025736179862614117,Healthcare,🔴 Caro
SLB,52.2,78359158784,6489000000.0,6489000000.0,-1946000000.0,-1946000000.0,2109000000.0,False,558000000.0,840000000.0,0.0,3145000000.0,0.04013570396626273,0.08326017106596773,Energy,🔴 Caro
PFE,27.52,156543565824,11704000000.0,11704000000.0,-2629000000.0,-2629000000.0,6592000000.0,False,2671000000.0,266000000.0,0.0,6138000000.0,0.039209532296593255,-0.14797605157261928,Healthcare,🔴 Caro
VLO,226.28,67663659008,5826000000.0,5826000000.0,-796000000.0,-796000000.0,3158000000.0,False,556000000.0,759000000.0,1084000000.0,2631000000.0,0.03888350169902772,-0.11397235202184985,Energy,🔴 Caro
INTU,404.83,112653688832,6207000000.0,6207000000.0,-124000000.0,-124000000.0,809000000.0,False,247000000.0,965000000.0,666000000.0,4205000000.0,0.037326784800370806,0.1395336514824015,Technology,🔴 Caro
FIS,48.32,25022547968,2816000000.0,2816000000.0,-989000000.0,-989000000.0,1883000000.0,False,391000000.0,265000000.0,249000000.0,922000000.0,0.03684676721088102,0.031797154725512033,Technology,🔴 Caro
